,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
47,0.0001,1024.0,1.0,0.0001,0.8915807604789734,1.1483922004699707,0.711898148059845,0.6118518710136414
48,0.0001,1024.0,2.0,0.0,0.4938318431377411,1.0058783292770386,0.839305579662323,0.6811110973358154
49,0.0001,1024.0,2.0,1e-05,0.5247170925140381,1.0021944046020508,0.8331944346427917,0.6688888669013977
50,0.0001,1024.0,2.0,0.0001,0.586521565914154,1.0309492349624634,0.8234259486198425,0.6762962937355042
51,0.0001,1024.0,3.0,0.0,0.2627756893634796,1.142513632774353,0.9209259152412415,0.6837037205696106
52,0.0001,1024.0,3.0,1e-05,0.3028281331062317,1.117577314376831,0.9143518805503845,0.6914814710617065
53,0.0001,1024.0,3.0,0.0001,0.41725218296051025,1.105259656906128,0.9004629850387573,0.6962962746620178
54,0.001,256.0,1.0,0.0,1.0965547561645508,1.337550401687622,0.6123611330986023,0.5562962889671326
55,0.001,256.0,1.0,1e-05,1.0717114210128784,1.3005330562591553,0.6289814710617065,0.5674074292182922
56,0.001,256.0,1.0,0.0001,1.1412272453308105,1.322830319404602,0.6087962985038757,0.5603703856468201
57,0.001,256.0,2.0,0.0,0.6722465753555298,1.0279778242111206,0.7606481313705444,0.6622222065925598
58,0.001,256.0,2.0,1e-05,0.7079623341560364,1.021333932876587,0.7523611187934875,0.6596296429634094
59,0.001,256.0,2.0,0.0001,0.7387579679489136,1.0315829515457153,0.7551851868629456,0.6625925898551941
60,0.001,256.0,3.0,0.0,0.5302897095680237,1.1537117958068848,0.809166669845581,0.6625925898551941
61,0.001,256.0,3.0,1e-05,0.5186774730682373,1.1051034927368164,0.8236111402511597,0.6744444370269775
62,0.001,256.0,3.0,0.0001,0.6475868225097656,1.0281730890274048,0.7888888716697693,0.6774073839187622
63,0.001,512.0,1.0,0.0,0.9963122010231018,1.216889500617981,0.6520370244979858,0.585185170173645
64,0.001,512.0,1.0,1e-05,0.9830781817436218,1.2481058835983276,0.6583333611488342,0.585185170173645
65,0.001,512.0,1.0,0.0001,1.1461763381958008,1.322424054145813,0.6162962913513184,0.551111102104187
66,0.001,512.0,2.0,0.0,0.6519334316253662,1.0497866868972778,0.768657386302948,0.6629629731178284
67,0.001,512.0,2.0,1e-05,0.7489543557167053,1.0457799434661865,0.7311574220657349,0.6581481695175171
68,0.001,512.0,2.0,0.0001,0.7848080396652222,1.0599595308303833,0.7331481575965881,0.6566666960716248
69,0.001,512.0,3.0,0.0,0.4768642485141754,1.13370943069458,0.8355555534362793,0.664814829826355
70,0.001,512.0,3.0,1e-05,0.6035162210464478,1.0578064918518066,0.7864351868629456,0.6651852130889893
71,0.001,512.0,3.0,0.0001,0.7182601690292358,1.0738645792007446,0.7571296095848083,0.652222216129303
72,0.001,1024.0,1.0,0.0,1.0053038597106934,1.2488031387329102,0.6465277671813965,0.580740749835968
73,0.001,1024.0,1.0,1e-05,0.971626341342926,1.250396728515625,0.6657870411872864,0.588518500328064
